 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	ANXA5          	FMO2           	                  	Directed        	      	         	          	
 	ANXA5          	AF087961       	                  	Directed        	      	         	          	
 	ANXA5          	HSS00388069    	                  	Directed        	      	         	          	
 	ANXA5          	Contig27444_RC 	                  	Directed        	      	         	          	
 	ANXA5          	ENPP1          	                  	Directed        	      	         	          	
 	ANXA5          	ERAP2          	                  	Directed        	      	         	          	
 	ANXA5          	GRID1          	                  	Directed        	      	         	          	
 	ANXA5          	AK022346       	                  	Directed        	      	         	          	
 	ANXA5          	ECHDC3         	                  	Directed        	      	         	          	
 	ANXA5          	221806         	                  	Directed        	      	         	          	
 	ANXA5          	CASQ1          	                  	Directed        	      	         	          	
 	ANXA5          	SNX18          	                  	Directed        	      	         	          	
 	ANXA5          	AK094519       	                  	Directed        	      	         	          	
 	731559         	hCT2316252     	                  	Directed        	      	         	          	
 	731559         	XM_067085      	                  	Directed        	      	         	          	
 	HHIP           	DMRT2          	                  	Directed        	      	         	          	
 	HHIP           	DEPDC7         	                  	Directed        	      	         	          	
 	HHIP           	C18orf1        	                  	Directed        	      	         	          	
 	C1orf198       	CHST3          	                  	Directed        	      	         	          	
 	C1orf198       	PHLDB1         	                  	Directed        	      	         	          	
 	C1orf198       	hCT2289034     	                  	Directed        	      	         	          	
 	CD302          	GNA13          	                  	Directed        	      	         	          	
 	CD302          	MRC1           	                  	Directed        	      	         	          	
 	CD302          	ENTPD1         	                  	Directed        	      	         	          	
 	CCNH           	C9orf72        	                  	Directed        	      	         	          	
 	CCNH           	HACL1          	                  	Directed        	      	         	          	
 	CCNH           	SYNCRIP        	                  	Directed        	      	         	          	
 	CCNH           	HSS00124010    	                  	Directed        	      	         	          	
 	PTGER1         	COL4A3         	                  	Directed        	      	         	          	
 	BC038580       	OR5H14         	                  	Directed        	      	         	          	
 	BC038580       	HSS00001404    	                  	Directed        	      	         	          	
 	BC038580       	WEE2           	                  	Directed        	      	         	          	
 	BC038580       	Contig28889_RC 	                  	Directed        	      	         	          	
 	C7orf51        	COPG2          	                  	Directed        	      	         	          	
 	ALPK1          	DENND2D        	                  	Directed        	      	         	          	
 	ALPK1          	CCDC109B       	                  	Directed        	      	         	          	
 	GPLD1          	LRRC28         	                  	Directed        	      	         	          	
 	AF116656       	AL832705       	                  	Directed        	      	         	          	
 	A26C2          	ENST00000294982	                  	Directed        	      	         	          	
 	AF090888       	BC040657       	                  	Directed        	      	         	          	
 	C3             	CAPG           	                  	Directed        	      	         	          	
 	PCID2          	Contig36385_RC 	                  	Directed        	      	         	          	
 	PCID2          	HSPA12A        	                  	Directed        	      	         	          	
 	PCID2          	RORA           	                  	Directed        	      	         	          	
 	PCID2          	HSS00303405    	                  	Directed        	      	         	          	
 	ACRC           	ZNF605         	                  	Directed        	      	         	          	
 	ACRC           	SYCP3          	                  	Directed        	      	         	          	
 	ACRC           	643338         	                  	Directed        	      	         	          	
 	ACRC           	CYB561D2       	                  	Directed        	      	         	          	
 	ACRC           	SLC26A1        	                  	Directed        	      	         	          	
 	ACRC           	AL359582       	                  	Directed        	      	         	          	
 	ACRC           	Contig61202_RC 	                  	Directed        	      	         	          	
 	ACRC           	C7orf53        	                  	Directed        	      	         	          	
 	HSS00009365    	644246         	                  	Directed        	      	         	          	
 	HSS00009365    	Contig15012_RC 	                  	Directed        	      	         	          	
 	hCT32705.2     	HSS00209316    	                  	Directed        	      	         	          	
 	AK090760       	HSS00183494    	                  	Directed        	      	         	          	
 	AK090760       	FARSB          	                  	Directed        	      	         	          	
 	AK090760       	AK092145       	                  	Directed        	      	         	          	
 	AK090760       	MICB           	                  	Directed        	      	         	          	
 	AK090760       	COL4A4         	                  	Directed        	      	         	          	
 	AK090760       	Contig41669_RC 	                  	Directed        	      	         	          	
 	TMEM144        	CLCA2          	                  	Directed        	      	         	          	
 	TMEM144        	C13orf31       	                  	Directed        	      	         	          	
 	LMO3           	Contig40464_RC 	                  	Directed        	      	         	          	
 	LMO3           	HSG00410823    	                  	Directed        	      	         	          	
 	LMO3           	FZD3           	                  	Directed        	      	         	          	
 	LMO3           	PID1           	                  	Directed        	      	         	          	
 	LMO3           	CTNNA2         	                  	Directed        	      	         	          	
 	LMO3           	RAN            	                  	Directed        	      	         	          	
 	LMO3           	HSG00418347    	                  	Directed        	      	         	          	
 	LMO3           	DCHS2          	                  	Directed        	      	         	          	
 	LMO3           	PTPLAD1        	                  	Directed        	      	         	          	
 	LMO3           	ABAT           	                  	Directed        	      	         	          	
 	LMO3           	NNT            	                  	Directed        	      	         	          	
 	hCT2279578     	Contig23423_RC 	                  	Directed        	      	         	          	
 	hCT2279578     	PBX1           	                  	Directed        	      	         	          	
 	DPP8           	KIAA0460       	                  	Directed        	      	         	          	
 	HEXIM1         	IRS1           	                  	Directed        	      	         	          	
 	HEXIM1         	CXCL12         	                  	Directed        	      	         	          	
 	BCL11B         	GPR176         	                  	Directed        	      	         	          	
 	BCL11B         	NKX2-1         	                  	Directed        	      	         	          	
 	BCL11B         	PLXNA4A        	                  	Directed        	      	         	          	
 	HSS00299206    	HSS00012308    	                  	Directed        	      	         	          	
 	LARGE          	389023         	                  	Directed        	      	         	          	
 	LARGE          	B3GNT4         	                  	Directed        	      	         	          	
 	LARGE          	OSBPL10        	                  	Directed        	      	         	          	
 	LARGE          	TOX            	                  	Directed        	      	         	          	
 	EPHA2          	GPR4           	                  	Directed        	      	         	          	
 	EPHA2          	CXCL1          	                  	Directed        	      	         	          	
 	HSS00289922    	PTGS2          	                  	Directed        	      	         	          	
 	HSS00289922    	COL9A1         	                  	Directed        	      	         	          	
 	HSS00289922    	NAMPT          	                  	Directed        	      	         	          	
 	HSS00289922    	79099          	                  	Directed        	      	         	          	
 	HSS00289922    	PLSCR1         	                  	Directed        	      	         	          	
 	C7             	FBLN1          	                  	Directed        	      	         	          	
 	C7             	ADH1A          	                  	Directed        	      	         	          	
 	OLFML2A        	BMP6           	                  	Directed        	      	         	          	
 	OLFML2A        	PDE5A          	                  	Directed        	      	         	          	
 	OLFML2A        	COL18A1        	                  	Directed        	      	         	          	
 	OLFML2A        	TIMP3          	                  	Directed        	      	         	          	
 	OLFML2A        	DCN            	                  	Directed        	      	         	          	
 	TSC22D3        	IGFBP3         	                  	Directed        	      	         	          	
 	AK000073       	HSS00008892    	                  	Directed        	      	         	          	
 	STOML1         	TRIM17         	                  	Directed        	      	         	          	
 	FAM153B        	FAM153A        	                  	Directed        	      	         	          	
 	SEZ6           	C5orf13        	                  	Directed        	      	         	          	
 	HSS00008962    	FCGR2B         	                  	Directed        	      	         	          	
 	HSS00008962    	LILRB5         	                  	Directed        	      	         	          	
 	GJA4           	Contig45266    	                  	Directed        	      	         	          	
 	GJA4           	HEYL           	                  	Directed        	      	         	          	
 	AK094679       	AK022848       	                  	Directed        	      	         	          	
 	AK094679       	HSG00513958    	                  	Directed        	      	         	          	
 	AK094679       	AK055008       	                  	Directed        	      	         	          	
 	AK094679       	DNA2           	                  	Directed        	      	         	          	
 	C1orf90        	CARHSP1        	                  	Directed        	      	         	          	
 	C1orf90        	XM_211811      	                  	Directed        	      	         	          	
 	644934         	hCT11784.3     	                  	Directed        	      	         	          	
 	644934         	646753         	                  	Directed        	      	         	          	
 	AA083497       	NKIRAS1        	                  	Directed        	      	         	          	
 	AA083497       	RSE_00000551358	                  	Directed        	      	         	          	
 	PPP5C          	AQP7P1         	                  	Directed        	      	         	          	
 	PPP5C          	BC007549       	                  	Directed        	      	         	          	
 	ARHGDIB        	PLCG2          	                  	Directed        	      	         	          	
 	SFRS16         	MALAT1         	                  	Directed        	      	         	          	
 	AK054975       	AK054975       	                  	Directed        	      	         	          	
 	AK054975       	NEGR1          	                  	Directed        	      	         	          	
 	AK054975       	CDC42          	                  	Directed        	      	         	          	
 	AK054975       	Contig54544_RC 	                  	Directed        	      	         	          	
 	AK054975       	284214         	                  	Directed        	      	         	          	
 	AK054975       	CHRM3          	                  	Directed        	      	         	          	
 	hCT2328745     	MAD2L1         	                  	Directed        	      	         	          	
 	SYT1           	TBC1D9         	                  	Directed        	      	         	          	
 	SYT1           	TCEAL6         	                  	Directed        	      	         	          	
 	SYT1           	ENST00000285289	                  	Directed        	      	         	          	
 	SYT1           	TBR1           	                  	Directed        	      	         	          	
 	SYT1           	CLGN           	                  	Directed        	      	         	          	
 	SYT1           	SCN3B          	                  	Directed        	      	         	          	
 	SYT1           	KCNIP4         	                  	Directed        	      	         	          	
 	SYT1           	KLC1           	                  	Directed        	      	         	          	
 	SYT1           	54842          	                  	Directed        	      	         	          	
 	hCT32692.2     	hCT13180.2     	                  	Directed        	      	         	          	
 	MVP            	LMNA           	                  	Directed        	      	         	          	
 	MVP            	H2AFJ          	                  	Directed        	      	         	          	
 	MVP            	TP53           	                  	Directed        	      	         	          	
 	MVP            	TMBIM1         	                  	Directed        	      	         	          	
 	RAI14          	SPARC          	                  	Directed        	      	         	          	
 	Contig45303_RC 	283547         	                  	Directed        	      	         	          	
 	Contig45303_RC 	COL9A2         	                  	Directed        	      	         	          	
 	Contig45303_RC 	LEPR           	                  	Directed        	      	         	          	
 	Contig45303_RC 	MND1           	                  	Directed        	      	         	          	
 	Contig45303_RC 	SLCO1A2        	                  	Directed        	      	         	          	
 	HSS00137322    	399959         	                  	Directed        	      	         	          	
 	HSS00137322    	AK022635       	                  	Directed        	      	         	          	
 	HSS00137322    	C5orf34        	                  	Directed        	      	         	          	
 	UGT8           	GLTP           	                  	Directed        	      	         	          	
 	UGT8           	ABCA8          	                  	Directed        	      	         	          	
 	UGT8           	EVI2A          	                  	Directed        	      	         	          	
 	UGT8           	SPTLC2         	                  	Directed        	      	         	          	
 	MERTK          	ENST00000289164	                  	Directed        	      	         	          	
 	CREB3L2        	BAMBI          	                  	Directed        	      	         	          	
 	CREB3L2        	CD55           	                  	Directed        	      	         	          	
 	CREB3L2        	GSN            	                  	Directed        	      	         	          	
 	GRIK3          	NXPH4          	                  	Directed        	      	         	          	
 	GRIK3          	AK095753       	                  	Directed        	      	         	          	
 	DYNC2LI1       	HFM1           	                  	Directed        	      	         	          	
 	DYNC2LI1       	HSS00085965    	                  	Directed        	      	         	          	
 	GDPD2          	57722          	                  	Directed        	      	         	          	
 	GDPD2          	GPR143         	                  	Directed        	      	         	          	
 	GDPD2          	C10orf105      	                  	Directed        	      	         	          	
 	ENST00000241847	VKORC1L1       	                  	Directed        	      	         	          	
 	GPR62          	TTYH2          	                  	Directed        	      	         	          	
 	GPR62          	FA2H           	                  	Directed        	      	         	          	
 	EIF1AY         	JARID1D        	                  	Directed        	      	         	          	
 	EIF1AY         	DDX3Y          	                  	Directed        	      	         	          	
 	EIF1AY         	CYorf15A       	                  	Directed        	      	         	          	
 	EIF1AY         	HSFY1          	                  	Directed        	      	         	          	
 	EIF1AY         	HSG00313004    	                  	Directed        	      	         	          	
 	NT5DC3         	TDRD9          	                  	Directed        	      	         	          	
 	NT5DC3         	GPR88          	                  	Directed        	      	         	          	
 	Contig35108_RC 	XM_093251      	                  	Directed        	      	         	          	
 	Contig35108_RC 	XM_212511      	                  	Directed        	      	         	          	
 	HSPB2          	MRGPRF         	                  	Directed        	      	         	          	
 	NFATC1         	TRAF3IP2       	                  	Directed        	      	         	          	
 	FBXW7          	RIMS2          	                  	Directed        	      	         	          	
 	FBXW7          	HSG00230295    	                  	Directed        	      	         	          	
 	hCT1641088.2   	B3GALT2        	                  	Directed        	      	         	          	
 	HAMP           	PIM1           	                  	Directed        	      	         	          	
 	HAMP           	CISH           	                  	Directed        	      	         	          	
 	PDIA6          	ARMET          	                  	Directed        	      	         	          	
 	PDIA6          	HSPD1          	                  	Directed        	      	         	          	
 	PDIA6          	HSP90B1        	                  	Directed        	      	         	          	
 	MLF1IP         	BUB1           	                  	Directed        	      	         	          	
 	ELOVL1         	C18orf51       	                  	Directed        	      	         	          	
 	UGT8           	HOXD1          	                  	Directed        	      	         	          	
 	UGT8           	HHIP           	                  	Directed        	      	         	          	
 	UGT8           	UGT8           	                  	Directed        	      	         	          	
 	UGT8           	ANLN           	                  	Directed        	      	         	          	
 	UGT8           	PRRG1          	                  	Directed        	      	         	          	
 	UGT8           	DUSP10         	                  	Directed        	      	         	          	
 	Contig47297_RC 	ELK1           	                  	Directed        	      	         	          	
 	STAB1          	SDF2L1         	                  	Directed        	      	         	          	
 	STAB1          	PYGL           	                  	Directed        	      	         	          	
 	STAB1          	SH3BP2         	                  	Directed        	      	         	          	
 	STAB1          	CTSZ           	                  	Directed        	      	         	          	
 	NRIP3          	ZNF804A        	                  	Directed        	      	         	          	
 	C2orf39        	FAM81B         	                  	Directed        	      	         	          	
 	AK092249       	NPC1L1         	                  	Directed        	      	         	          	
 	AK092249       	HSS00126613    	                  	Directed        	      	         	          	
 	DGKB           	TAF7L          	                  	Directed        	      	         	          	
 	DGKB           	ZNF184         	                  	Directed        	      	         	          	
 	Contig8977_RC  	CTAG2          	                  	Directed        	      	         	          	
 	Contig8977_RC  	CRYZ           	                  	Directed        	      	         	          	
 	Contig8977_RC  	AK095543       	                  	Directed        	      	         	          	
 	Contig8977_RC  	84849          	                  	Directed        	      	         	          	
 	Contig8977_RC  	HSG00415213    	                  	Directed        	      	         	          	
 	MTA3           	TAF7L          	                  	Directed        	      	         	          	
 	OCIAD2         	728192         	                  	Directed        	      	         	          	
 	OCIAD2         	ARHGEF10       	                  	Directed        	      	         	          	
 	MAP1A          	HRH3           	                  	Directed        	      	         	          	
 	MAP1A          	MAST1          	                  	Directed        	      	         	          	
 	MAP1A          	NCDN           	                  	Directed        	      	         	          	
 	MFNG           	C9orf167       	                  	Directed        	      	         	          	
 	MFNG           	HSS00252834    	                  	Directed        	      	         	          	
 	MFNG           	RAB42          	                  	Directed        	      	         	          	
 	RSPO3          	SH2D1B         	                  	Directed        	      	         	          	
 	RSPO3          	AK091677       	                  	Directed        	      	         	          	
 	ICAM2          	HYAL1          	                  	Directed        	      	         	          	
 	CNTNAP4        	MATN2          	                  	Directed        	      	         	          	
 	643367         	653391         	                  	Directed        	      	         	          	
 	643367         	AW385677       	                  	Directed        	      	         	          	
 	ZFP36L1        	TGIF1          	                  	Directed        	      	         	          	
 	ZFP36L1        	ANG            	                  	Directed        	      	         	          	
 	ADORA3         	C5orf29        	                  	Directed        	      	         	          	
 	HSPD1          	XPO1           	                  	Directed        	      	         	          	
 	ANKRD19        	AK056396       	                  	Directed        	      	         	          	
 	CD109          	PCDHB4         	                  	Directed        	      	         	          	
 	CD109          	SLC7A11        	                  	Directed        	      	         	          	
 	CD109          	SSPN           	                  	Directed        	      	         	          	
 	CD109          	SPATA22        	                  	Directed        	      	         	          	
 	HSS00330832    	GPLD1          	                  	Directed        	      	         	          	
 	HSS00330832    	CORO2A         	                  	Directed        	      	         	          	
 	HSS00330832    	RGL3           	                  	Directed        	      	         	          	
 	HSS00330832    	CAMK2G         	                  	Directed        	      	         	          	
 	HSS00330832    	hCT2294210     	                  	Directed        	      	         	          	
 	HSS00330832    	PPL            	                  	Directed        	      	         	          	
 	AK095543       	HSS00023397    	                  	Directed        	      	         	          	
 	AK095543       	440338         	                  	Directed        	      	         	          	
 	Contig47252_RC 	BCL6           	                  	Directed        	      	         	          	
 	Contig47252_RC 	Contig46183_RC 	                  	Directed        	      	         	          	
 	Contig47252_RC 	OMG            	                  	Directed        	      	         	          	
 	Contig47252_RC 	389895         	                  	Directed        	      	         	          	
 	Contig47252_RC 	AK022117       	                  	Directed        	      	         	          	
 	Contig47252_RC 	Contig6273_RC  	                  	Directed        	      	         	          	
 	HSG00455700    	UHMK1          	                  	Directed        	      	         	          	
 	HSG00455700    	AF086074       	                  	Directed        	      	         	          	
 	HSG00455700    	HSS00264849    	                  	Directed        	      	         	          	
 	645688         	AB046420       	                  	Directed        	      	         	          	
 	645688         	INTU           	                  	Directed        	      	         	          	
 	645688         	C20orf149      	                  	Directed        	      	         	          	
 	645688         	hCT1644717.2   	                  	Directed        	      	         	          	
 	SOX10          	TMC6           	                  	Directed        	      	         	          	
 	SOX10          	SOX8           	                  	Directed        	      	         	          	
 	SOX10          	PPAP2C         	                  	Directed        	      	         	          	
 	SOX10          	HSS00266793    	                  	Directed        	      	         	          	
 	SOX10          	57580          	                  	Directed        	      	         	          	
 	SOX10          	NCAM1          	                  	Directed        	      	         	          	
 	SOX10          	KIF13B         	                  	Directed        	      	         	          	
 	HSS00083079    	AK057422       	                  	Directed        	      	         	          	
 	DAGLA          	CACNA1G        	                  	Directed        	      	         	          	
 	C19orf59       	LILRA5         	                  	Directed        	      	         	          	
 	728590         	649299         	                  	Directed        	      	         	          	
 	CA10           	ZCCHC12        	                  	Directed        	      	         	          	
 	PCDHGA10       	AK055807       	                  	Directed        	      	         	          	
 	PCDHGA10       	FIGN           	                  	Directed        	      	         	          	
 	PCDHGA10       	HSG00502727    	                  	Directed        	      	         	          	
 	KIF21A         	ESRRG          	                  	Directed        	      	         	          	
 	KIF21A         	KRT18          	                  	Directed        	      	         	          	
 	PCDHA6         	G3BP2          	                  	Directed        	      	         	          	
 	CAMK1D         	FAT3           	                  	Directed        	      	         	          	
 	CAMK1D         	AK055386       	                  	Directed        	      	         	          	
 	CAMK1D         	121456         	                  	Directed        	      	         	          	
 	CAMK1D         	CAMK1D         	                  	Directed        	      	         	          	
 	CAMK1D         	KIAA0802       	                  	Directed        	      	         	          	
 	RSE_00000397169	EEF1B2         	                  	Directed        	      	         	          	
 	RSE_00000397169	C16orf48       	                  	Directed        	      	         	          	
 	RSE_00000397169	D16584         	                  	Directed        	      	         	          	
 	KLK14          	ENSA           	                  	Directed        	      	         	          	
 	KLK14          	AK095149       	                  	Directed        	      	         	          	
 	TGIF1          	NUAK2          	                  	Directed        	      	         	          	
 	TGIF1          	HMGB2          	                  	Directed        	      	         	          	
 	EEF1A1         	BM710955       	                  	Directed        	      	         	          	
 	CACNB2         	PARK2          	                  	Directed        	      	         	          	
 	CACNB2         	284371         	                  	Directed        	      	         	          	
 	CACNB2         	TMEM65         	                  	Directed        	      	         	          	
 	PRB1           	AL831840       	                  	Directed        	      	         	          	
 	PRB1           	AOC2           	                  	Directed        	      	         	          	
 	PRB1           	BC034606       	                  	Directed        	      	         	          	
 	HSG00218499    	Contig23421_RC 	                  	Directed        	      	         	          	
 	HSG00218499    	SLCO4C1        	                  	Directed        	      	         	          	
 	HSG00218499    	CDH10          	                  	Directed        	      	         	          	
 	HSG00259791    	HSP90AB6P      	                  	Directed        	      	         	          	
 	HSG00259791    	AK092127       	                  	Directed        	      	         	          	
 	ATF4           	390251         	                  	Directed        	      	         	          	
 	SIGLEC7        	CTSB           	                  	Directed        	      	         	          	
 	C14orf128      	SLC30A10       	                  	Directed        	      	         	          	
 	AL049355       	HSS00087976    	                  	Directed        	      	         	          	
 	AL049355       	MAS1L          	                  	Directed        	      	         	          	
 	AL049355       	CSNK2A1        	                  	Directed        	      	         	          	
 	MT1G           	MT1P2          	                  	Directed        	      	         	          	
 	OPN3           	ENST00000296448	                  	Directed        	      	         	          	
 	AL050204       	C1orf187       	                  	Directed        	      	         	          	
 	AL050204       	EXPH5          	                  	Directed        	      	         	          	
 	AF147346       	AK022204       	                  	Directed        	      	         	          	
 	AF147346       	Contig38908_RC 	                  	Directed        	      	         	          	
 	AF147346       	TBC1D5         	                  	Directed        	      	         	          	
 	AF147346       	AK024629       	                  	Directed        	      	         	          	
 	AF147346       	ZNF654         	                  	Directed        	      	         	          	
 	AF147346       	Contig22022_RC 	                  	Directed        	      	         	          	
 	RHOU           	CLDN11         	                  	Directed        	      	         	          	
 	RHOU           	TMTC4          	                  	Directed        	      	         	          	
 	RHOU           	FGFR2          	                  	Directed        	      	         	          	
 	HIST1H2BG      	HIST1H2AE      	                  	Directed        	      	         	          	
 	ABHD7          	ENST00000241847	                  	Directed        	      	         	          	
 	ABHD7          	HACE1          	                  	Directed        	      	         	          	
 	286437         	651721         	                  	Directed        	      	         	          	
 	KLRC2          	KLRC3          	                  	Directed        	      	         	          	
 	MMP14          	ADAM12         	                  	Directed        	      	         	          	
 	TOMM34         	hCG_17324      	                  	Directed        	      	         	          	
 	KIAA0241       	CHM            	                  	Directed        	      	         	          	
 	KIAA0241       	RABGAP1L       	                  	Directed        	      	         	          	
 	CCDC105        	CNIH2          	                  	Directed        	      	         	          	
 	NEDD4          	HEATR5A        	                  	Directed        	      	         	          	
 	UHRF1          	CPM            	                  	Directed        	      	         	          	
 	RHBDD2         	PLD3           	                  	Directed        	      	         	          	
 	RHBDD2         	HSG00515549    	                  	Directed        	      	         	          	
 	RHBDD2         	PIP4K2B        	                  	Directed        	      	         	          	
 	WSB1           	Contig37142_RC 	                  	Directed        	      	         	          	
 	WSB1           	TNC            	                  	Directed        	      	         	          	
 	WSB1           	AY007114       	                  	Directed        	      	         	          	
 	WSB1           	440918         	                  	Directed        	      	         	          	
 	COL4A5         	AL157463       	                  	Directed        	      	         	          	
 	COL4A5         	219595         	                  	Directed        	      	         	          	
 	MOG            	NINJ2          	                  	Directed        	      	         	          	
 	MOG            	PHLDB1         	                  	Directed        	      	         	          	
 	MOG            	79899          	                  	Directed        	      	         	          	
 	MOG            	ZNF536         	                  	Directed        	      	         	          	
 	MOG            	AF085871       	                  	Directed        	      	         	          	
 	MOG            	219595         	                  	Directed        	      	         	          	
 	MOG            	AFMID          	                  	Directed        	      	         	          	
 	MOG            	PLEKHH1        	                  	Directed        	      	         	          	
 	MOG            	SOX2OT         	                  	Directed        	      	         	          	
 	GABRG2         	AK055794       	                  	Directed        	      	         	          	
 	GABRG2         	MCF2           	                  	Directed        	      	         	          	
 	GABRG2         	GLRA2          	                  	Directed        	      	         	          	
 	GABRG2         	SYT1           	                  	Directed        	      	         	          	
 	GABRG2         	ARL4C          	                  	Directed        	      	         	          	
 	GABRG2         	B4GALT6        	                  	Directed        	      	         	          	
 	GABRG2         	SLC1A6         	                  	Directed        	      	         	          	
 	BCAN           	COL20A1        	                  	Directed        	      	         	          	
 	TTYH2          	ADARB2         	                  	Directed        	      	         	          	
 	TTYH2          	RTKN           	                  	Directed        	      	         	          	
 	TTYH2          	CNTN2          	                  	Directed        	      	         	          	
 	TTYH2          	PLXNB3         	                  	Directed        	      	         	          	
 	TTYH2          	DYSF           	                  	Directed        	      	         	          	
 	TTYH2          	ERBB3          	                  	Directed        	      	         	          	
 	TTYH2          	PRR18          	                  	Directed        	      	         	          	
 	BIN2           	IGSF6          	                  	Directed        	      	         	          	
 	BIN2           	APBB1IP        	                  	Directed        	      	         	          	
 	KCNJ9          	FAIM2          	                  	Directed        	      	         	          	
 	AK023999       	Contig21674_RC 	                  	Directed        	      	         	          	
 	SLC38A2        	Contig41005_RC 	                  	Directed        	      	         	          	
 	SLC38A2        	MPO            	                  	Directed        	      	         	          	
 	SLC38A2        	AK093691       	                  	Directed        	      	         	          	
 	SLC38A2        	ABCC11         	                  	Directed        	      	         	          	
 	SLC38A2        	CXCR4          	                  	Directed        	      	         	          	
 	C15orf21       	HMGN2          	                  	Directed        	      	         	          	
 	C15orf21       	hCT2271356     	                  	Directed        	      	         	          	
 	C15orf21       	FBXO2          	                  	Directed        	      	         	          	
 	SLC6A17        	FOSB           	                  	Directed        	      	         	          	
 	SLC6A17        	LRFN5          	                  	Directed        	      	         	          	
 	hCT1970811     	TNS3           	                  	Directed        	      	         	          	
 	hCT1970811     	Contig36421_RC 	                  	Directed        	      	         	          	
 	DIAPH3         	RXRG           	                  	Directed        	      	         	          	
 	STEAP2         	AADACL1        	                  	Directed        	      	         	          	
 	STEAP2         	SLC9A6         	                  	Directed        	      	         	          	
 	STEAP2         	258010         	                  	Directed        	      	         	          	
 	STEAP2         	ZNF184         	                  	Directed        	      	         	          	
 	STEAP2         	CA389076       	                  	Directed        	      	         	          	
 	SMARCC1        	LGALS8         	                  	Directed        	      	         	          	
 	MOAP1          	FAM3C          	                  	Directed        	      	         	          	
 	MOAP1          	GNB5           	                  	Directed        	      	         	          	
 	MOAP1          	GRIN2A         	                  	Directed        	      	         	          	
 	MOAP1          	G3BP2          	                  	Directed        	      	         	          	
 	MOAP1          	93622          	                  	Directed        	      	         	          	
 	MOAP1          	ZCCHC12        	                  	Directed        	      	         	          	
 	EVI2A          	TRIM59         	                  	Directed        	      	         	          	
 	EVI2A          	LIPA           	                  	Directed        	      	         	          	
 	PSD3           	PARP12         	                  	Directed        	      	         	          	
 	PSD3           	PRKAA2         	                  	Directed        	      	         	          	
 	COL1A1         	IGF2AS         	                  	Directed        	      	         	          	
 	COL1A1         	MDFI           	                  	Directed        	      	         	          	
 	ST8SIA3        	CHRM3          	                  	Directed        	      	         	          	
 	ST8SIA3        	PLCL2          	                  	Directed        	      	         	          	
 	NRN1           	C6orf115       	                  	Directed        	      	         	          	
 	NRN1           	SHANK2         	                  	Directed        	      	         	          	
 	RTKN           	SMOC1          	                  	Directed        	      	         	          	
 	RTKN           	HAPLN2         	                  	Directed        	      	         	          	
 	hCT1835226.2   	C14orf129      	                  	Directed        	      	         	          	
 	hCT1835226.2   	HSS00216951    	                  	Directed        	      	         	          	
 	hCT1835226.2   	HSS00178988    	                  	Directed        	      	         	          	
 	SC4MOL         	SQLE           	                  	Directed        	      	         	          	
 	SC4MOL         	HMGCR          	                  	Directed        	      	         	          	
 	FABP5L7        	FABP5          	                  	Directed        	      	         	          	
 	FABP5L7        	FABP5L1        	                  	Directed        	      	         	          	
 	SERHL2         	SERHL          	                  	Directed        	      	         	          	
 	HIST1H2AC      	HIST1H2BD      	                  	Directed        	      	         	          	
 	HIST1H2AC      	TMEM140        	                  	Directed        	      	         	          	
 	WFDC1          	LBH            	                  	Directed        	      	         	          	
 	ZBTB20         	284485         	                  	Directed        	      	         	          	
 	ZBTB20         	ZHX2           	                  	Directed        	      	         	          	
 	EYA3           	SEMA4B         	                  	Directed        	      	         	          	
 	EYA3           	ARNT           	                  	Directed        	      	         	          	
 	EYA3           	AA082669       	                  	Directed        	      	         	          	
 	ROM1           	C14orf152      	                  	Directed        	      	         	          	
 	AL512695       	DOK6           	                  	Directed        	      	         	          	
 	RPS4Y2         	HSG00502441    	                  	Directed        	      	         	          	
 	PTPRR          	KCNMB2         	                  	Directed        	      	         	          	
 	PTPRR          	FAM38A         	                  	Directed        	      	         	          	
 	PTPRR          	FSTL5          	                  	Directed        	      	         	          	
 	HBQ1           	DRD5           	                  	Directed        	      	         	          	
 	NIT2           	NDUFA5         	                  	Directed        	      	         	          	
 	NIT2           	RAD18          	                  	Directed        	      	         	          	
 	NIT2           	SMC2           	                  	Directed        	      	         	          	
 	NIT2           	YEATS4         	                  	Directed        	      	         	          	
 	NIT2           	CENPP          	                  	Directed        	      	         	          	
 	NIT2           	GUF1           	                  	Directed        	      	         	          	
 	AK025386       	XM_069912      	                  	Directed        	      	         	          	
 	ORAI1          	ELF4           	                  	Directed        	      	         	          	
 	ORAI1          	TRIM21         	                  	Directed        	      	         	          	
 	DYNC1LI1       	PANK3          	                  	Directed        	      	         	          	
 	DYNC1LI1       	LMBR1          	                  	Directed        	      	         	          	
 	DYNC1LI1       	NBEA           	                  	Directed        	      	         	          	
 	DYNC1LI1       	PCMT1          	                  	Directed        	      	         	          	
 	DYNC1LI1       	VPS35          	                  	Directed        	      	         	          	
 	DYNC1LI1       	DNM1L          	                  	Directed        	      	         	          	
 	DYNC1LI1       	IARS           	                  	Directed        	      	         	          	
 	PCDHA12        	MIA3           	                  	Directed        	      	         	          	
 	PID1           	GRM8           	                  	Directed        	      	         	          	
 	PID1           	ETV1           	                  	Directed        	      	         	          	
